Date,Open,High,Low,Close,Volume,Ex-Dividend,Split Ratio,Adj. Open,Adj. High,Adj. Low,Adj. Close,Adj. Volume
1970-08-14,43.38,43.62,42.62,42.62,79200.0,0.0,1.0,3.6776567673523,3.6980034161343,3.6132257128759,3.6132257128759,316800.0
1970-08-17,42.62,42.75,42.12,42.5,115600.0,0.0,1.0,3.6132257128759,3.6242468142995,3.5708368612466,3.6030523884848,462400.0
1970-08-18,42.5,43.5,42.5,43.5,179200.0,0.0,1.0,3.6030523884848,3.6878300917433,3.6030523884848,3.6878300917433,716800.0
1970-08-19,43.75,45.12,43.75,44.5,321600.0,0.0,1.0,3.7090245175579,3.825169971022,3.7090245175579,3.7726077950018,1286400.0
1970-08-20,44.62,46.12,44.62,46.12,314000.0,0.0,1.0,3.7827811193928,3.9099476742805,3.7827811193928,3.9099476742805,1256000.0
1970-08-21,46.12,46.62,46.12,46.5,248000.0,0.0,1.0,3.9099476742805,3.9523365259097,3.9099476742805,3.9421632015187,992000.0
1970-08-24,46.62,48.0,46.62,47.38,360000.0,0.0,1.0,3.9523365259097,4.0693297564064,3.9523365259097,4.0167675803862,1440000.0
1970-08-25,47.38,47.62,46.62,47.5,121200.0,0.0,1.0,4.0167675803862,4.0371142291682,3.9523365259097,4.0269409047772,484800.0
1970-08-26,47.38,47.38,46.62,46.62,146400.0,0.0,1.0,4.0167675803862,4.0167675803862,3.9523365259097,3.9523365259097,585600.0
1970-08-27,46.62,47.25,46.12,47.25,199200.0,0.0,1.0,3.9523365259097,4.0057464789626,3.9099476742805,4.0057464789626,796800.0
1970-08-28,47.25,47.25,46.62,47.25,114000.0,0.0,1.0,4.0057464789626,4.0057464789626,3.9523365259097,4.0057464789626,456000.0
1970-08-31,47.25,47.5,47.25,47.5,103200.0,0.0,1.0,4.0057464789626,4.0269409047772,4.0057464789626,4.0269409047772,412800.0
1970-09-01,47.5,47.5,47.0,47.38,152800.0,0.0,1.0,4.0269409047772,4.0269409047772,3.984552053148,4.0167675803862,611200.0
1970-09-02,47.38,47.5,46.75,47.5,118800.0,0.0,1.0,4.0167675803862,4.0269409047772,3.9633576273333,4.0269409047772,475200.0
1970-09-03,47.5,47.88,47.38,47.75,137600.0,0.0,1.0,4.0269409047772,4.0591564320154,4.0167675803862,4.0481353305918,550400.0
1970-09-04,47.75,48.0,47.5,47.62,142000.0,0.0,1.0,4.0481353305918,4.0693297564064,4.0269409047772,4.0371142291682,568000.0
1970-09-08,47.62,47.88,46.75,47.75,146400.0,0.0,1.0,4.0371142291682,4.0591564320154,3.9633576273333,4.0481353305918,585600.0
1970-09-09,47.75,48.0,47.38,47.62,109200.0,0.0,1.0,4.0481353305918,4.0693297564064,4.0167675803862,4.0371142291682,436800.0
1970-09-10,47.5,47.5,46.5,46.5,100800.0,0.0,1.0,4.0269409047772,4.0269409047772,3.9421632015187,3.9421632015187,403200.0
1970-09-11,46.5,47.0,46.38,46.62,82000.0,0.0,1.0,3.9421632015187,3.984552053148,3.9319898771277,3.9523365259097,328000.0
1970-09-14,46.62,46.88,46.0,46.25,75200.0,0.0,1.0,3.9523365259097,3.9743787287569,3.8997743498895,3.9209687757041,300800.0
1970-09-15,46.25,46.38,45.62,45.88,74400.0,0.0,1.0,3.9209687757041,3.9319898771277,3.8675588226513,3.8896010254985,297600.0
1970-09-16,45.88,45.88,45.12,45.5,277600.0,0.0,1.0,3.8896010254985,3.8896010254985,3.825169971022,3.8573854982603,1110400.0
1970-09-17,45.5,46.0,45.38,45.62,173200.0,0.0,1.0,3.8573854982603,3.8997743498895,3.8472121738692,3.8675588226513,692800.0
1970-09-18,45.62,47.38,45.62,46.75,350000.0,0.0,1.0,3.8675588226513,4.0167675803862,3.8675588226513,3.9633576273333,1400000.0
1970-09-21,46.75,46.75,46.0,46.0,148400.0,0.0,1.0,3.9633576273333,3.9633576273333,3.8997743498895,3.8997743498895,593600.0
1970-09-22,45.62,45.62,45.0,45.12,148400.0,0.0,1.0,3.8675588226513,3.8675588226513,3.814996646631,3.825169971022,593600.0
1970-09-23,45.12,47.12,45.0,46.12,289200.0,0.0,1.0,3.825169971022,3.994725377539,3.814996646631,3.9099476742805,1156800.0
1970-09-24,46.12,46.75,46.12,46.5,250000.0,0.0,1.0,3.9099476742805,3.9633576273333,3.9099476742805,3.9421632015187,1000000.0
1970-09-25,46.5,46.88,46.25,46.75,138000.0,0.0,1.0,3.9421632015187,3.9743787287569,3.9209687757041,3.9633576273333,552000.0
1970-09-28,46.75,46.75,46.12,46.62,104800.0,0.0,1.0,3.9633576273333,3.9633576273333,3.9099476742805,3.9523365259097,419200.0
